"result.gene","result.weight","result.symbol","result.alias","result.annotation"
"LOC_Os05g06310",0.00159200704335,"--","None","60S ribosomal protein L18-3, putative, expressed"
"LOC_Os03g22900",0.00157856241341,"--","None","SNF2 family N-terminal domain containing protein, expressed"
"LOC_Os02g52620",0.00156649305183,"--","None","expressed protein"
"LOC_Os03g18870",0.00155139440633,"--","None","heat shock protein DnaJ, putative, expressed"
"LOC_Os12g22145",0.00155116790087,"--","None","expressed protein"
"LOC_Os02g04490",0.00152876888907,"OsHAC703","None","histone acetyltransferase HAC1, putative, expressed"
"LOC_Os07g43310",0.00151463393688,"--","None","ribosomal protein L7/L12 C-terminal domain containing protein, expressed"
"LOC_Os12g30540",0.00150553733128,"--","None","ubiquitin carboxyl-terminal hydrolase, putative, expressed"
"LOC_Os01g24690",0.00150052996436,"--","None","60S ribosomal protein L23A, putative, expressed"
"LOC_Os10g41470",0.0014966090526,"--","None","60S ribosomal protein L27-3, putative, expressed"
"LOC_Os02g07070",0.00149543393295,"--","None","RNA recognition motif family protein, expressed"
"LOC_Os08g21561",0.00149396089478,"--","None","PPR repeat domain containing protein, putative, expressed"
"LOC_Os07g45320",0.00147032365035,"--","None","COX VIIa, putative, expressed"
"LOC_Os03g37970",0.00146153490924,"OsiBBC1","None","ribosomal protein L13, putative, expressed"
"LOC_Os05g51490",0.00145849004416,"--","None","SIT4 phosphatase-associated protein domain containing protein, expressed"
"LOC_Os09g38020",0.00144203898244,"--","None","Core histone H2A/H2B/H3/H4 domain containing protein, putative, expressed"
"LOC_Os06g07580",0.00143941353416,"--","None","expressed protein"
"LOC_Os02g07910",0.00142374908383,"--","None","fiber protein Fb15, putative, expressed"
"LOC_Os08g41300",0.00142338361202,"rpL32_8.1","None","60S ribosomal protein L32, putative, expressed"
"LOC_Os06g49490",0.0014156265729,"--","None","ZOS6-10 - C2H2 zinc finger protein, expressed"
"LOC_Os07g06950",0.00141561810067,"--","None","ubiquitin carboxyl-terminal hydrolase, putative, expressed"
"LOC_Os03g56190",0.00141373309598,"--","None","cytochrome c oxidase-related, putative, expressed"
"LOC_Os04g46450",0.00140411723606,"OsHUB1|MIP1","None","zinc finger, C3HC4 type domain containing protein, expressed"
"LOC_Os03g54890",0.00139350378429,"--","None","ribosomal protein L13, putative, expressed"
"LOC_Os12g01260",0.00139106108347,"--","None","protein transport protein Sec61 subunit beta, putative, expressed"
"LOC_Os08g13690",0.00138907586072,"--","None","60S ribosomal protein L7, putative, expressed"
"LOC_Os08g02080",0.00138872124392,"--","None","rickettsia 17 kDa surface antigen family protein, expressed"
"LOC_Os07g46180",0.00138703525389,"--","None","PWWP domain containing protein, expressed"
"LOC_Os01g55110",0.00138655538862,"--","None","RING-H2 finger protein, putative, expressed"
"LOC_Os03g42799",0.00138579620339,"--","None","expressed protein"
"LOC_Os02g51414",0.00138088167901,"--","None","expressed protein"
"LOC_Os05g11710",0.00135928049848,"--","None","ribosomal protein L5, putative, expressed"
"LOC_Os03g43800",0.00135771329106,"--","None","DIRP family protein, putative, expressed"
"LOC_Os01g40990",0.00135029343609,"--","None","expressed protein"
"LOC_Os01g72170",0.0013488387801,"--","None","glutathione S-transferase, putative, expressed"
"LOC_Os08g08210",0.00133603841025,"SDG701","None","SET domain containing protein, expressed"
