"result.gene","result.weight","result.symbol","result.alias","result.annotation"
"LOC_Os03g29770",1,"--","None","EF hand family protein, expressed"
"LOC_Os02g32469",0.0087672506386,"--","None","expressed protein"
"LOC_Os04g56100",0.00644845669798,"--","None","one cut domain family member 3, putative, expressed"
"LOC_Os07g07670",0.00509832950356,"--","None","expressed protein"
"LOC_Os08g40510",0.00470012232877,"--","None","KID-containing protein, putative, expressed"
"LOC_Os02g15120",0.00385189446374,"--","None","RING-H2 finger protein, putative, expressed"
"LOC_Os06g48500",0.00347650999502,"--","None","expressed protein"
"LOC_Os02g30050",0.00301823269767,"--","None","ribosomal protein L29, putative, expressed"
"LOC_Os06g47544",0.00290073658227,"--","None","expressed protein"
"LOC_Os02g52770",0.00286495689833,"--","None","expressed protein"
"LOC_Os02g07890",0.00276071419453,"--","None","60S ribosomal protein L27a-3, putative, expressed"
"LOC_Os10g27190",0.00263004030446,"--","None","40S ribosomal protein S17, putative, expressed"
"LOC_Os03g22340",0.00255448063644,"--","None","60S ribosomal protein L22-2, putative, expressed"
"LOC_Os02g54470",0.00250875482167,"--","None","60S ribosomal protein L35a-3, putative, expressed"
"LOC_Os06g48780",0.00246774263596,"--","None","60S acidic ribosomal protein, putative, expressed"
"LOC_Os04g52180",0.00245529838907,"--","None","expressed protein"
"LOC_Os06g50000",0.00244117586076,"--","None","LYR motif containing protein, putative, expressed"
"LOC_Os09g11480",0.00239137506392,"Sub1B","None","AP2 domain containing protein, expressed"
"LOC_Os03g22460",0.00237501421334,"--","None","expressed protein"
"LOC_Os02g48150",0.00230649379002,"--","None","expressed protein"
"LOC_Os05g49590",0.00227512522298,"--","None","suppressor of phythchrome A, putative, expressed"
"LOC_Os10g27174",0.00227069661437,"--","None","40S ribosomal protein S28, putative, expressed"
"LOC_Os08g02410",0.00221687150043,"--","None","40S ribosomal protein S13, putative, expressed"
"LOC_Os10g22430",0.0021990598951,"--","None","gibberellin response modulator protein, putative, expressed"
"LOC_Os06g47220",0.00218657556277,"--","None","expressed protein"
"LOC_Os05g27780",0.00210307187943,"--","None","expressed protein"
"LOC_Os05g38520",0.00208712456385,"--","None","60S ribosomal protein L36-2, putative, expressed"
"LOC_Os05g39960",0.00207299837142,"--","None","40S ribosomal protein S26, putative, expressed"
"LOC_Os11g01300",0.00206787637528,"--","None","protein transport protein Sec61 subunit beta, putative, expressed"
"LOC_Os01g13420",0.00204823756955,"--","None","SOUL heme-binding protein, putative, expressed"
"LOC_Os02g18380",0.00203157637261,"--","None","60S ribosomal protein L27-3, putative, expressed"
"LOC_Os02g40880",0.00196955202857,"--","None","ribosomal protein L14, putative, expressed"
"LOC_Os10g40780",0.00196102834234,"OsNOT1","None","CCR4-Not complex component, Not1domain containing protein, expressed"
"LOC_Os07g48244",0.0019468758659,"--","None","ubiquinol-cytochrome c reductase complex 6.7 kDa protein, putative, expressed"
"LOC_Os02g56990",0.00193890777337,"--","None","ribosomal protein L37, putative, expressed"
"LOC_Os03g11240",0.00192131030976,"--","None","nucleotidyltransferase, putative, expressed"
"LOC_Os07g42520",0.00190219268943,"--","None","dirigent, putative, expressed"
"LOC_Os07g42170",0.00189341308359,"--","None","60S ribosomal protein, putative, expressed"
"LOC_Os03g29460",0.00188857821214,"--","None","60S ribosomal protein, putative, expressed"
"LOC_Os08g03520",0.00188075887787,"OsCSP2","None","retrotransposon protein, putative, Ty1-copia subclass, expressed"
"LOC_Os07g45400",0.00184291001256,"--","None","expressed protein"
"LOC_Os02g47140",0.0018204644999,"--","None","L11 domain containing ribosomal protein, putative, expressed"
"LOC_Os01g14370",0.00181818624,"--","None","histone acetyltransferase HAC5, putative, expressed"
"LOC_Os12g29340",0.001784418258,"--","None","expressed protein"
"LOC_Os08g06040",0.00178110729439,"--","None","60S ribosomal protein L34, putative, expressed"
"LOC_Os09g31260",0.00177531840197,"--","None","expressed protein"
"LOC_Os02g10500",0.00176428993242,"--","None","expressed protein"
"LOC_Os05g49080",0.0017360050361,"--","None","expressed protein"
"LOC_Os02g53050",0.00173578083318,"--","None","tetratricopeptide-like helical, putative, expressed"
"LOC_Os12g05430",0.00172683473105,"--","None","ribosomal protein L24, putative, expressed"
"LOC_Os08g02340",0.00172245524306,"--","None","60S acidic ribosomal protein, putative, expressed"
"LOC_Os07g36410",0.00171300348313,"--","None","expressed protein"
"LOC_Os02g13530",0.00171210155713,"--","None","40S ribosomal protein S24, putative, expressed"
"LOC_Os02g48660",0.00168899374363,"--","None","60S ribosomal protein L31, putative, expressed"
"LOC_Os03g58050",0.00167809990706,"--","None","ribosomal protein S13p/S18e, putative, expressed"
"LOC_Os07g12150",0.00166687304632,"--","None","acyl carrier protein, putative, expressed"
"LOC_Os05g50660",0.00166054954707,"--","None","PX domain containing protein, putative, expressed"
"LOC_Os07g47710",0.00165267786849,"--","None","60S ribosomal protein L22-2, putative, expressed"
"LOC_Os03g17140",0.00163761623746,"--","None","expressed protein"
"LOC_Os03g11460",0.00163382168739,"--","None","expressed protein"
"LOC_Os01g22490",0.00163375264298,"OsUBI5|UBQ5|OsCCD4b","None","40S ribosomal protein S27a, putative, expressed"
"LOC_Os08g44480",0.00161405595608,"--","None","40S ribosomal protein S25, putative, expressed"
"LOC_Os12g03090",0.00161386433165,"--","None","ribosomal protein, putative, expressed"
"LOC_Os10g32920",0.00161023994575,"HLL","None","ribosomal protein, putative, expressed"
"LOC_Os06g42660",0.00159699549575,"--","None","expressed protein"
